seq,level,Property type,Identifier,Class,Property Term,BaseType,Associated Class,Multiplicity,Documentation,module,element,LocalLabel,LocalDocumentation,
126,2,Attribute,,Segment Parent,Parent Subaccount Type,xbrli:stringItemType,,0..1,The describer of the segment this subaccount rolls up to.,gl-cor,,親サブ科目種別,この小勘定科目のロールアップ先のセグメントの説明。,
127,2,Attribute,,Segment Parent,Reporting Tree Identifier,xbrli:stringItemType,,0..1,Used for representing descriptions of reporting trees.,gl-cor,,報告系統識別子,報告系統の説明に使用される。,
128,2,Attribute,,Segment Parent,Parent Subaccount Percentage,xbrli:pureItemType,,0..1,"For partial allocations of amounts to different parents, the percentage of a child that will be allocated to a parent.",gl-cor,,親サブ科目配分パーセンテージ,異なる親科目に配分する場合に、親科目に割り当てるパーセンテージ。,
129,1,Class,,Account Identifier,,,,0..*,"Tuple: parent container for account numbers and identifiers. No entry is made here, but each detail line may have multiple accounts assigned to it for reporting in different GAAPs, offsetting accounts in Japan, passing along information to consolidation systems about local versus consolidating accounts, etc. For example, the account 4783HG-QOWI-192837-1000 may be expressed so: 

/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division",gl-cor,,【科目識別子】,"タプル。勘定科目番号と識別子の親コンテナ。 ここには記入されないが、個々の明細行は、異なるGAAPでの報告や、日本の見返勘定や、連結勘定科目に対する個別情報の連結会計システムへの伝達などのための、複数の勘定科目を持ちうる。例えば、勘定科目4783HG-QOWI-192837-1000は、次のように表現されうる。
/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division",
130,2,Attribute,PK,Account Identifier,Number,xbrli:stringItemType,,0..1,"Main account - the code used to identify the accounting bucket the entry has been assigned to. Examples might be 1000 for Cash, 567GAAZ for Sales Expense or Z for tax payments. Identifiers such as department, branch, division, manager, or other modifiers are noted in the Subaccount area. Before needing to post, account is not necessary. Posting to the general ledger almost always requires an entry here.",gl-cor,,主勘定科目コード,"主勘定科目。仕訳が関連する会計バケットを特定するためのコード。例えば、現金を表す1000、販売費を表す567GAAZ、税を表すZ。
部門、支店、事業部、マネージャ、その他の識別子は、Subaccount領域に記述される。転記の必要がなければ、勘定科目は必要ではない。総勘定元帳に転記するにはほとんどの場合必要。",
131,2,Attribute,,Account Identifier,Description,xbrli:stringItemType,,0..1,Description of accountMainID - the human readable describer that accompanies the code used in accountMainID,gl-cor,,主勘定科目説明,主勘定科目コードの説明。主勘定科目コードとして使用されるコードについての、人が読める記述。,
132,2,Attribute,,Account Identifier,Classification,xbrli:tokenItemType,,0..1,"Account type - FASB Concepts 6 and similar international designs. When xbrlInfo is used to associated other XBRL reporting items, this field is more suited to representing existing systems (audit) than data interchange. Enumerated as: asset, liability, equity, income, gain, expense, loss, contr-to-equity, distr-from-equity, comprehensive-income, other.",gl-cor,,主勘定科目区分,"主勘定科目の種別。FASB Concepts 6および、同様の国際的な様式。xbrlInfoが他のXBRL項目と関係付けられる場合、データ交換より現存システム(audit)を示すべき。
[設定値のリスト]
(asset：資産)、(liability：負債)、(equity：資本)、(income：収益)、(gain：利得)、(expense：費用)、(loss：損失)、(contr-to-equity：資本増加)、(distr-from-equity：資本減少)、(comprehensive-income：包括利益)、(other：その他)",
133,2,Attribute,,Account Identifier,Classification Description,xbrli:stringItemType,,0..1,Free format description of the account classification,gl-cor,,主勘定科目区分説明,主勘定科目の区分の説明。,
134,2,Reference Association,,Account Identifier,Parent,xbrli:stringItemType,Account Identifier,0..1,Roll up item from child natural account to parent natural account.,gl-cor,,親勘定科目コード,子勘定科目から親勘定科目に包み込む科目。,
135,2,Attribute,,Account Identifier,Purpose of Account,xbrli:tokenItemType,,0..1,"Code related to usage for account aggregate - Consolidating, European, IFRS, Offsetting, Primary, Tax, USGAAP, Japanese, Other. Japanese companies will use this for the tax required offsetting entry. If left blank, assumes default accounting method for company.",gl-cor,,勘定科目目的,"勘定科目群の使用法を示すコード。連結、European, IFRS, 見返、プライマリ, 税, USGAAP, Japanese,その他。日本企業では、見返仕訳で要求される税務処理に利用するかもしれない。空白の場合、企業の既定の勘定方法とみなす。
[設定値のリスト]
(consolidating：連結)、(european：ヨーロッパ)、(ifrs：IFRS)、(offsetting：見返)、(primary：プライマリ)、(tax：税)、(usgaap：US GAAP)、(japanese：日本)、(other：その他)",
136,2,Attribute,,Account Identifier,Description of Purpose,xbrli:stringItemType,,0..1,Description of usage for aggregate account,gl-cor,,勘定科目目的説明,勘定科目群の使用法の説明。,
137,2,Attribute,,Account Identifier,Type,xbrli:tokenItemType,,0..1,"Type of account. Enumerated as: account, bank, employee, customer, job, vendor, measurable, statistical, other.",gl-cor,,科目種別,"科目の種別。
[設定値のリスト]
(account：勘定科目)、(bank：銀行)、(employee：従業員)、(customer：顧客)、(job：ジョブ)、(vendor：仕入先)、(measurable：計測可能物)、(statistical：統計)、(other：その他)",
138,2,Attribute,,Account Identifier,Type Description,xbrli:stringItemType,,0..1,Free format description of the account type,gl-cor,,科目種別説明,科目の種別の説明。,
139,2,Attribute,,Account Identifier,Accounting Method,xbrli:tokenItemType,,0..1,"For this entry, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other",gl-bus,,仕訳会計処理方法,"この仕訳の会計処理方法を表す。発生基準、現金基準、修正現金基準、修正発生基準、債務基準、特別な方法、混合方法、その他
[設定値のリスト]
(accrual：発生基準)、(cash：現金基準)、(modified cash：修正現金基準)、(modified accrual：修正発生基準)、(encumbrance：債務基準)、(special methods：特別な方法)、(hybrid methods：混合方法)、(other：その他)",
140,2,Attribute,,Account Identifier,Accounting Method Description,xbrli:stringItemType,,0..1,Free format description of the entry accounting method,gl-bus,,仕訳会計処理方法説明,仕訳の会計処理方法の説明。,
141,2,Attribute,,Account Identifier,Accounting Method Purpose,xbrli:tokenItemType,,0..1,"For this entry, the reporting purpose represented - from book, tax, management, statutory, other",gl-bus,,仕訳会計処理方法目的,"仕訳の報告の目的を表す。帳簿、税、管理、スタチュトリ、その他
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",
142,2,Attribute,,Account Identifier,Accounting Method Purpose Description,xbrli:stringItemType,,0..1,Free format description of the entry accounting method purpose,gl-bus,,仕訳会計処理方法目的説明,仕訳の会計処理方法の目的の説明。,
143,2,Attribute,,Account Identifier,Active,xbrli:booleanItemType,,0..1,"Boolean to indicate whether the account is active (=""true"") or inactive (=""false"")",gl-cor,,科目有効性,科目が有効か無効かを示すブール値。,
144,2,Composition,,Account Identifier,,,Subaccount,0..*,,gl-cor,,【サブ科目情報】,複数のaccountSubIDと説明文を含むタプル。,
145,1,Class,,External Authority,,,,0..*,Structure containing references to an external authority associated with identifier,gl-cor,,【外部機関】,識別子と関係付けられる外部機関への参照情報を含む構造体。,
146,2,Attribute,PK,External Authority,ID Number,xbrli:stringItemType,,0..1,"External Authority (e,g, Tax Authority) ID Number associated with identifierReference",gl-cor,,外部機関付与識別番号,identifierReferenceと関係付けられる、外部機関（たとえば、税務署）によるID番号。,
147,2,Attribute,,External Authority,Name,xbrli:stringItemType,,0..1,Name of External Authority (e.g. Tax Authority),gl-cor,,外部機関名,外部機関の名前（たとえば、税務署）,
148,2,Attribute,,External Authority,Verification Date,xbrli:dateTimeItemType,,0..1,Date on which the External Authority last performed a verification,gl-cor,,外部機関認証日付,外部機関が最後に認証した日付。,
149,1,Class,,Exchange Conversion,,,,,,gl-muc,,,,
150,2,Attribute,,Exchange Conversion,Amount,xbrli:monetaryItemType,,1,"The amount after currency conversion, expressed in the target currency.",gl-muc,,換算された金額,通貨換算後の金額。換算先の通貨で表される。,
151,2,Attribute,,Exchange Conversion,Currency,xbrli:QNameItemType,,1,"The currency in which the converted amount is expressed, identified using the ISO 4217 currency code.",gl-muc,,金額の通貨,換算された金額が表される通貨。ISO 4217通貨コードで識別される。,
152,2,Attribute,,Exchange Conversion,Exchange Rate,xbrli:pureItemType,,0..1,"The exchange rate used for conversion, expressed as the amount of local (or functional) currency per unit of the target currency.",gl-muc,,換算レート,換算に使用された為替レート。換算対象通貨1単位あたりの自国通貨（または機能通貨）で表される。,
153,2,Attribute,,Exchange Conversion,Exchange Rate Source,xbrli:stringItemType,,0..1,"The source from which the exchange rate was obtained, such as a financial information provider (e.g., Reuters, Bloomberg).",gl-muc,,為替レートの出典,為替レートの取得元。ReutersやBloombergなどの金融情報提供機関を含む。,
154,2,Attribute,,Exchange Conversion,Exchange Rate Type,xbrli:stringItemType,,0..1,"The type of exchange rate used, such as spot rate, forward rate, or other applicable rate classifications.",gl-muc,,為替レートの種類,使用された為替レートの種類。スポットレートやフォワードレートなどの区分を含む。,
155,2,Attribute,,Exchange Conversion,Exchange Rate Date,xbrli:dateTimeItemType,,0..1,The date on which the exchange rate was applied or became effective for the conversion.,gl-muc,,適用されたレートの日付,当該為替レートが適用された日付、または換算に有効となった日付。,
156,2,Attribute,,Exchange Conversion,Exchange Rate Description,xbrli:stringItemType,,0..1,An optional comment providing additional context or clarification regarding the exchange rate or conversion process.,gl-muc,,説明文,為替レートまたは換算処理に関する補足的な文脈や説明を提供する説明文。,
157,1,Class,,Foreign to Local Currency Conversion,,,,0..*,,gl-muc,,,,
158,2,Specialization,,Foreign to Local Currency Conversion,,,Exchange Conversion ,1,,gl-muc,,,,
159,1,Class,,Triangulation to Local Conversion,,,,0..*,,gl-muc,,,,
160,2,Specialization,,Triangulation to Local Conversion,,,Exchange Conversion ,1,,gl-muc,,,,
161,1,Class,,Foreign to Triangulation Conversion,,,,0..*,,gl-muc,,,,
162,2,Specialization,,Foreign to Triangulation Conversion,,,Exchange Conversion ,1,,gl-muc,,,,
163,1,Class,,Multicurrency Detail,,,,0..*,Structure to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This structure allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This structure may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,gl-muc,,【多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のセクション。－現在および原取引時の、換算レートおよび金額の記録に使用される。
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。",
164,2,Composition,,Multicurrency Detail,,,Foreign to Local Currency Conversion,0..1,,gl-muc,,,,
165,2,Composition,,Multicurrency Detail,,,Triangulation to Local Conversion,0..1,,gl-muc,,,,
166,2,Composition,,Multicurrency Detail,,,Foreign to Triangulation Conversion,0..1,,gl-muc,,,,
167,1,Class,,Identifier Reference,,,,0..*,"Identification for customer, vendor, or employee.",gl-cor,,【CVE情報】,顧客、仕入先、従業員のための識別子。,
168,2,Attribute,PK,Identifier Reference,ID Number,xbrli:stringItemType,,0..1,Internal ID Number associated with identifierReference,gl-cor,,CVE識別番号（内部）,identifierReferenceに関係付けられた、内部ID番号。,
169,2,Attribute,,Identifier Reference,Purpose,xbrli:stringItemType,,0..1,"Freeform for codes like purchasing, billing, manufacturing at identifier level.",gl-bus,,CVE目的,購買、請求、製造などの、CVE識別子のレベルのコードの自由記述。,
170,2,Attribute,,Identifier Reference,Active,xbrli:booleanItemType,,0..1,"Boolean to indicate whether the identifier is active (=""true"") or inactive (=""false"")",gl-cor,,CVE有効性,CVE識別子が有効か無効かを示すブール値。,
171,2,Attribute,,Identifier Reference,Organization Type,xbrli:tokenItemType,,0..1,"Identifier Organization Type. Enumerated as: individual, organization, other.",gl-cor,,CVE組織種別,"CVE識別子の組織種別。
[設定値のリスト]
(individual：個人)、(organization：組織)、(other：その他)",
172,2,Attribute,,Identifier Reference,Organization Type Description,xbrli:stringItemType,,0..1,Free format description of the identifier organization type,gl-cor,,CVE組織種別説明,CVE識別子の組織種別の説明。,
173,2,Attribute,,Identifier Reference,Description,xbrli:stringItemType,,0..1,Textual description of identifierReference.,gl-cor,,CVE説明,identifierReferenceの説明。,
174,2,Attribute,,Identifier Reference,Type,xbrli:tokenItemType,,0..1,"Entity type (enumerated): C, customer, E, employee, V, vendor, O, other, I, salesperson-internal, X, salesperson-external, N, contractor.",gl-cor,,CVE種別,"実体の種別。 [設定値のリスト] (C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者)",
175,2,Attribute,,Identifier Reference,Category,xbrli:stringItemType,,0..1,"For use as Customer, Vendor or Employee Class (such as Residential/Commercial/Institutional/Government or Retail/Wholesale or other classifications used by business).",gl-cor,,CVEカテゴリ,顧客、仕入先、従業員の分類に使用する。　（住居/商業/機関/政府や、小売/卸や、ビジネスで使用されるその他の分類）。,
176,2,Composition,,Identifier Reference,,,External Authority,0..*,,gl-cor,,【外部機関】,識別子と関係付けられる外部機関への参照情報を含む構造体。,
177,2,Composition,,Identifier Reference,,,Email,0..*,,gl-cor,,【CVEEメールアドレス】,CVE識別子のEメールアドレス。,
178,2,Composition,,Identifier Reference,,,Phone,0..*,,gl-cor,,【電話番号】,CVE識別子の電話番号。,
179,2,Composition,,Identifier Reference,,,Fax,0..*,,gl-cor,,【FAX番号】,CVE識別子のFAX番号の構造体。,
180,2,Composition,,Identifier Reference,,,Address,0..*,,gl-bus,,【CVE住所】,統合目的やVATのための、顧客、仕入先、従業員の住所(ブロック)。,
181,2,Composition,,Identifier Reference,,,Contact,0..*,,gl-cor,,【CVE担当者情報】,CVE識別子の担当者情報の構造体。,
182,1,Class,,XBRL Information,,,,0..*,This will roll up to XBRL reporting information - this is a parent - repeatable so that the same item can be reported through many taxonomies. Care should be taken to consider what happens if people post to the same account but different XBRL elements.,gl-cor,,【XBRL情報】,XBRLレポート情報へのロールアップ情報。親タグであり、同じ項目が複数のタクソノミを通じて報告されうるように繰り返し可能。同一の勘定科目を異なるXBRL要素に転記した場合にどうなるか、注意深く考慮すべきである。,
183,2,Attribute,,XBRL Information,XBRL Allocation,xbrli:tokenItemType,,0..1,"Indicates that the information being given is beginning_balance, ending_balance, period_change.",gl-cor,,XBRL割当,"与えられた情報が、期首残高、期末残高、期中増減のいずれであるかを示す。
[設定値のリスト]
(beginning_balance：期首残高)、(ending_balance：期末残高)、(period_change：期中増減)",
184,2,Attribute,,XBRL Information,Summary Reporting Element,xbrli:QNameItemType,,0..1,Associated XBRL element or XML element within an XML taxonomy - mapping to an XBRL concept.,gl-cor,,集約報告エレメント,関係付けられた、XMLタクソノミ中のXBRL要素または、XML要素。XBRLコンセプトへのマッピング。,
185,2,Attribute,,XBRL Information,Detail Matching Element,xbrli:QNameItemType,,0..1,Associated XBRL element in XBRL-GL instance.,gl-cor,,明細対応エレメント,関係付けられた、XBRL-GLインスタンス中のXBRL要素。,
186,2,Attribute,,XBRL Information,Summary Tuple Path,xbrli:stringItemType,,0..1,Specific filter for parent tuple structure. This value must be valid XPath. And the result of the XPath must be resolved to a node.,gl-srcd,,集約タプルパス,親タグ構造を特定するフィルタ。妥当なXPath記述でなければならない。XPathの結果はノードでなければならない。,
187,2,Attribute,,XBRL Information,Detailed Content Filter,xbrli:stringItemType,,0..1,"Filtering mechanism. This value must be valid XPath. And the result of the XPath must be resolved to boolean. If the resulting value is false, the entry  must not mapped into specified facts in F/S.",gl-srcd,,明細コンテントフィルタ,フィルタリング手段。妥当なXPath記述でなければならない。XPathの結果はブール値でなければならない。結果がfalseの場合は、仕訳はF/S内の特定のfactsにマッピングされてはならない。,
188,2,Attribute,,XBRL Information,Reporting Date Selector,xbrli:tokenItemType,,0..1,This holds the concepts in GL data to create FS contexts.  The value must be a list of QName. Each QName must be resolved to GL items. Order of the items defines priority to access.,gl-srcd,,報告日付セレクタ,F/Sのコンテキストを生成するためのGLデータの概念を示す。QNameのリストでなければならない。個々のQNameはGL項目を示さなければならない。項目の並びはアクセスの優先度を示す。,
189,2,Attribute,,XBRL Information,Summary Operator,xbrli:stringItemType,,0..1,The operator applied to the amount or quantity when it is rolled up to a summary reporting element.,gl-srcd,,,,
190,2,Attribute,,XBRL Information,Summary Unit Numerator,xbrli:tokenItemType,,1..1,This holds the list of measure information for unit numerator. The value must be a list of QName. Each QName must be resolved to be measure information such as iso4217:usd.,gl-srcd,,集約ユニット分子,集約のユニットの分子の測定情報のリスト。QNameのリストでなければならない。QNameはiso4217:usdのような、解決される測定情報でなければならない。,
191,2,Attribute,,XBRL Information,Summary Unit Denominator,xbrli:tokenItemType,,0..1,This holds the list of measure information for unit denominator. The value must be a list of QName. Each QName must be resolved to be measure information such as iso4217:usd.,gl-srcd,,集約ユニット分母,集約のユニットの分母の測定情報のリスト。QNameのリストでなければならない。QNameはiso4217:usdのような、解決される測定情報でなければならない。,
192,2,Attribute,,XBRL Information,Summary Reporting Taxonomy ID Reference,xbrli:stringItemType,,0..1,"Reference to the ID of the relevant target reporting taxonomy, defined in the [summaryReportingTaxonomies] structure at [documentInfo] level. Allows consuming applications to identify sets of [xbrlInfo] structures that point to a specific taxonomy.",gl-srcd,,集約報告タクソノミ識別子参照情報,関連する報告タクソノミの識別子への参照情報。documentInfo内のsummaryReportingTaxonomies構造体で定義される。特定のタクソノミを示すxbrlInfo構造体の集合を、アプリケーションが識別できるようにする。,
193,1,Class,,Measurable,,,,0..*,"Parent for information regarding measurable items associated with the enclosing entryDetail line. Primary area used for holding performance measures. Based on needs for tracking inventory transactional detail, but suitable for anything assigned to an ""account"", ""reporting bucket"" or ""code"". Can be used to track any movements.",gl-bus,,【計測可能物情報】,明細行に関係付けられた、計測可能物の情報の親タグ。おもにパフォーマンス測定のために使用される。在庫移動の詳細の追跡の必要性に基づき、「科目」、「報告バケット」、「コード」に関係付けられるあらゆるものに適する。あらゆる活動を追跡するために使用可能。,
194,2,Attribute,PK,Measurable,Identification,xbrli:stringItemType,,0..1,Internal inventory part or SKU number or other code identifier for the measurable.,gl-bus,,計測可能物識別子,計測可能物の社内在庫部分またはSKU番号またはその他のコード識別子。,
195,2,Attribute,,Measurable,Code,xbrli:tokenItemType,,0..1,"Code for measurable item including BP - Business process, FA - Fixed asset/Capitalized item, IN - Inventory, KPI - Metric, NT - Intangible, SP - Supplies, SV-P - Service by employee, vendor or contractor, SV-M - Service by equipment/machinery, OT - Other",gl-bus,,計測可能物コード,"計測可能物のコード。ビジネスプロセス、固定資産/資産化項目、在庫、測定基準、無形資産、貯蔵品、従業員/提供元/請負者によるサービス、装置/機械によるサービス、その他
[設定値のリスト]
(BP：ビジネスプロセス)、(FA：固定資産/資産化項目)、(IN：在庫)、(KPI：測定基準)、(NT：無形資産)、(SP：貯蔵品)、(SV-P：従業員/提供元/請負者によるサービス)、(SV-M：装置/機械によるサービス)、(OT：その他)",
196,2,Attribute,,Measurable,Code Description,xbrli:stringItemType,,0..1,Free format description of the measurable code,gl-bus,,計測可能物コード説明,計測可能物のコードの説明。,
197,2,Attribute,,Measurable,Category,xbrli:stringItemType,,0..1,Category of the measurable,gl-bus,,計測可能物カテゴリ,計測可能物のカテゴリ。,
198,2,Attribute,,Measurable,Schema for Identification,xbrli:stringItemType,,0..1,URI or other identifier for schema with which measurable ID can be validated,gl-bus,,計測可能物識別子スキーマ,計測可能物のIDを検証するスキーマの、URIまたはその他の識別子。,
199,2,Attribute,,Measurable,Secondary Identifier,xbrli:stringItemType,,0..1,Second identifier (such as vendor's item number),gl-bus,,計測可能物第二識別子,第二識別子。（例えば、ベンダーでの品目番号）。,
200,2,Attribute,,Measurable,Schema for Secondary Identification,xbrli:stringItemType,,0..1,URI or other identifier for schema with which measurable ID Other can be validated,gl-bus,,計測可能物第二識別子スキーマ,計測可能物の第二IDを検証するスキーマの、URIまたはその他の識別子。,
201,2,Attribute,,Measurable,Description,xbrli:stringItemType,,0..1,Text description of measurable (e.g. inventory item or other identifier),gl-bus,,計測可能物説明,計測可能物の説明。（たとえば、在庫やその他の識別子）,
202,2,Attribute,,Measurable,Quantity,xbrli:decimalItemType,,0..1,"Number of units in this transaction; for non-monetary calculations; can be square footage, number of people, etc.",gl-bus,,数量,この取引における、単位数量。金額計算用ではない。平方フィート、人数など。,
203,2,Attribute,,Measurable,Qualifier,xbrli:tokenItemType,,0..1,"Field that can represent grading, inspection codes, ratings and other qualifiers to properly capture PKI/Balanced Scorecard information",gl-bus,,修飾子,PKI又はバランススコアカード情報を適正に把握するための、等級付け、検査コード、格付けその他の修飾子を示す。,
204,2,Attribute,,Measurable,Unit of Measure,xbrli:stringItemType,,0..1,"Description of unit: e.g. each, case, dozen, etc. ISO standard coding recommended.",gl-bus,,計量単位,単位の説明。たとえば、個、箱、ダースなど。ISO標準のコードを推奨。,
205,2,Attribute,,Measurable,Per Unit Cost Price,xbrli:monetaryItemType,,0..1,"Per unit price of the measurable. Although one might expect that measurableQuantity * measurableCostPerUnit = amount, this is not mandated except by external rules sets.",gl-bus,,単価,"計測可能物の単価。
measurableQuantity * measurableCostPerUnit = amountであることを期待するかもしれないが、外部規則がなければ必須ではない。",
206,2,Attribute,,Measurable,Start Time,xbrli:dateTimeItemType,,0..1,Start time of the duration being measured,gl-bus,,開始日時,計量期間の開始時刻。,
207,2,Attribute,,Measurable,End Time,xbrli:dateTimeItemType,,0..1,End time of the duration being measured,gl-bus,,終了日時,計量期間の終了時刻。,
208,2,Attribute,,Measurable,Active,xbrli:booleanItemType,,0..1,"Boolean to indicate whether the measurable is active (=""true"") or inactive (=""false"")",gl-bus,,計測可能物有効性,計測可能物が有効か無効かを示すブール値。,
209,1,Class,,Job Information,,,,0..*,"Tuple for holding job related information, separate from jobs represented in account identifier. Would probably only have one jobinfo tuple for each entry line, but there may be a need to express more than one.",gl-bus,,【ジョブ情報】,科目識別子で表現されるジョブとは別の、ジョブに関係する情報のタプル。個々の明細行に対してひとつだけ存在すると思われるが、複数必要かもしれない。,
210,2,Attribute,PK,Job Information,Identifier,xbrli:stringItemType,,0..1,"Associated job number or code. This could be built into the account, but many systems maintain a separate job coding system. Use primarily if job identification is a separate system, and not considered part of the chart of accounts.",gl-usk,,ジョブ識別子,関連するジョブ番号かジョブコード。 科目に組み込めるかもしれないが、多くのシステムでは独立したジョブコードシステムを持っている。おもに、ジョブの識別が別システムであり、科目体系に含まれないときに使用される。,
211,2,Attribute,,Job Information,Description,xbrli:stringItemType,,0..1,Description of job,gl-usk,,ジョブ説明,ジョブの説明。,
212,2,Attribute,,Job Information,Phase,xbrli:stringItemType,,0..1,"Job code, phase, activity. Allows greater granularity than a simple job number. Although the core only reaches down from job to phases, this can be customized to extend down to cost codes.",gl-usk,,ジョブフェーズ,ジョブコード、フェーズ、活動。 簡単なジョブ番号より詳細な定義が可能。基本的には、ジョブからフェーズを導くのみだが、コストコードにまでいたるように拡張可能。,
213,2,Attribute,,Job Information,Phase Description,xbrli:stringItemType,,0..1,"Description of Job code, phase, activity",gl-usk,,ジョブフェーズ説明,ジョブコード、フェーズ、活動の説明。,
214,2,Attribute,,Job Information,Active,xbrli:booleanItemType,,0..1,"Boolean to indicate whether the job is active (=""true"") or inactive (=""false"")",gl-usk,,ジョブ有効性,ジョブが有効か無効かを示すブール値。,
215,1,Class,,Depreciation Mortgage,,,,0..*,"Parent for information related to depreciation, mortgages, etc.",gl-bus,,【減価償却/抵当債務情報】,減価償却、抵当債務等に関連する情報の親タグ。,
216,2,Attribute,,Depreciation Mortgage,Mortgage Jurisdiction,xbrli:tokenItemType,,0..1,"Jurisdiction (e.g. federal, state, local): e.g. US Federal, Province of Québec, other identifier. Enumerated as: F, federal, S, state, L, local, other.",gl-bus,,抵当債務管轄,"管轄地区。（連邦、州、ローカル、等）。たとえば、米国連邦政府、ケベック州、その他の識別子。
[設定値のリスト]
(F)、(federal：連邦)、(S)、(state：州)、(L)、(local：地域)、(other：その他)",
217,2,Attribute,,Depreciation Mortgage,Depreciation Method,xbrli:stringItemType,,0..1,"Type of depreciation method: used for information about the loan percentage for loan or the depreciation method. This is used for informational purposes only. Examples of entries are ""20%"", ""5 year DDB"" (Double Declining Balance).",gl-bus,,減価償却方法,減価償却方法のタイプ。ローンのパーセンテージや減価償却方法に関する情報を含む。単なる情報提供を目的とする。たとえば、20%、5年、DDB(倍額定率)。,
218,2,Attribute,,Depreciation Mortgage,Mortgage Life,xbrli:decimalItemType,,0..1,Length of life in number of periods.,gl-bus,,抵当債務期間,存在する期間数。,
219,2,Attribute,,Depreciation Mortgage,Description,xbrli:stringItemType,,0..1,"Description of each item related to depreciation, mortgage, loan, credit facility, etc.",gl-bus,,債務説明,減価償却や債権債務、ローン、信用供与等に関する項目の説明。,
220,2,Attribute,,Depreciation Mortgage,Start Date,xbrli:dateTimeItemType,,0..1,"Start of the applicable period of each item related to depreciation, mortgage, loan, credit facility, etc.",gl-bus,,開始日付,減価償却や債権債務、ローン、信用供与等に関する項目の、適用期間の開始日。,
221,2,Attribute,,Depreciation Mortgage,End Date,xbrli:dateTimeItemType,,0..1,"End of the applicable period of each item related to depreciation, mortgage, loan, credit facility, etc.",gl-bus,,終了日付,減価償却や債権債務、ローン、信用供与等に関する項目の、適用期間の終了日。,
222,2,Attribute,,Depreciation Mortgage,Amount,xbrli:monetaryItemType,,0..1,"Amount of a cost or fee charged for a mortgage, loan, credit facility, etc.",gl-bus,,手数料,減価償却や債権債務、ローン、信用供与等で請求されるコストや手数料。,
223,1,Class,,Serial or Lot,,,,0..*,"Tuple for holding information about serial numbers or lots (batches). As a tuple, this permits multiple serial numbers or multiple lot number batches within a single gl-cor:measurable structure.",gl-ehm,,【シリアル番号・ロット情報】,シリアル番号やロット（バッチ）に関する情報を保持するタプル。単一の構造内に複数のシリアル番号やロット情報を保持可能。,
224,2,Attribute,PK,Serial or Lot,Code,xbrli:tokenItemType,,0..1,"Is this item tracked by serial numbers or lot numbers? A serial number is usually a unique number assigned to a single; a lot or batch number is provided when a batch of items is fungible but must be differentiated from similar items from other batches. Enumerated indicator for serial or lot items. Enumeration are: serial, lot, other, neither. If not included within the tuple, neither is assumed.",gl-ehm,,シリアル・ロット識別コード,この項目はシリアル番号またはロット番号で管理されているか？シリアル番号は一意に付番されたもので、ロット番号は同一バッチの区別を目的に使用される。,
225,2,Attribute,,Serial or Lot,Description,xbrli:stringItemType,,0..1,Free format description associated with gl-ehm:serialLotCode to provide specialization and especially to provide clarification for the enumerated value of other in serialLotCode. Examples might be “batch” or “group”.,gl-ehm,,シリアル・ロットの説明,gl-ehm:serialLotCode の「その他」の値のための自由記述の説明（例：バッチ、グループなど）。,
226,2,Attribute,,Serial or Lot,Number,xbrli:stringItemType,,0..1,The holder for that actual serial number or lot (batch) number/code assigned to an item or a batch of items.,gl-ehm,,シリアル番号・ロット番号,対象アイテムやロットに割り当てられた実際の番号／コードを保持する。,
227,2,Attribute,,Serial or Lot,Next Number,xbrli:stringItemType,,0..1,"A field for holding the next expected serial or lot number to be given to future assignments, or for chaining between already assigned items.",gl-ehm,,次のシリアル・ロット番号,今後割り当て予定の次のシリアル／ロット番号や、既に割り当てられたアイテムの連結に使用。,
228,2,Attribute,,Serial or Lot,Quantity,xbrli:decimalItemType,,0..1,The quantity of units in this particular batch. Unit of measure is the gl-bus:measurableUnitofMeasure.,gl-ehm,,シリアル・ロットの数量,該当ロット内の単位数。単位は gl-bus:measurableUnitofMeasure に基づく。,
